id,title,artist,release,bpm,energy,dance,loud,valence,length,acoustic,pop,rnd
1,Megator,T78,2019-05-27,130,99,72,-5,11,5:30,0,58,2822
2,Higher Self,Mark Dekoda,2019-07-15,128,85,74,-9,12,5:15,0,56,5365
3,Puffer,F-Rontal,2019-07-05,128,87,71,-9,3,9:54,0,56,1993
4,19 calls,Deborah de Luca,2019-07-29,128,79,75,-7,11,6:30,1,56,1291
5,Space Date - Pleasurekraft Remix,Adam Beyer,2019-06-24,127,82,72,-9,6,9:09,0,59,5355
6,Vibrancy - Original Mix,UMEK,2019-06-14,128,93,52,-9,13,6:50,0,59,885
7,Forever Ravers,ANNA,2019-08-30,129,86,52,-8,11,6:01,0,56,389
8,Core Resonance (CLOSE combined),Richie Hawtin,2019-09-13,129,97,62,-9,11,5:18,0,44,5583
9,Eating Concrete,Reinier Zonneveld,2019-08-30,131,95,73,-8,27,4:24,0,50,5468
10,The House of House - Thomas Schumacher Remix,Cherrymoon Trax,2019-06-28,129,73,67,-8,4,7:47,1,54,4357
11,Golden,Mark Reeve,2019-07-05,128,85,70,-6,25,7:16,0,53,8539
12,Solid Matter,Drumcomplex,2019-09-06,128,86,64,-9,58,7:08,0,39,5920
13,Little Robot,Amelie Lens,2019-09-13,132,87,61,-9,3,6:04,0,48,7338
14,Open Your Eyes,LTGTR,2019-07-07,130,77,75,-7,22,9:29,0,50,3217
15,Superstition - Azid Mix,Len Faki,2019-02-18,129,87,72,-11,22,6:14,1,49,553
16,Dreams,Belocca,2019-08-23,128,93,71,-7,27,7:08,0,48,2592
17,Making Sense - Original Mix,Spartaque,2019-08-02,126,94,62,-7,22,5:08,0,50,4249
18,Dunkle Illusion,Klangkuenstler,2019-08-09,131,98,64,-9,8,6:08,1,50,8495
19,Deep Down Inside - Even Deeper Mix,Raito,2019-08-09,132,98,69,-5,49,5:50,0,49,7360
20,Come with Me,i_o,2019-08-02,130,84,79,-7,4,6:06,1,49,7640
21,Fury,Beico & MT93,2019-09-06,130,73,64,-9,8,7:12,0,47,975
22,Connect,Timmo,2019-07-05,126,93,80,-9,29,6:08,1,47,6066
23,The Approach,Alan Fitzpatrick,2019-07-12,130,59,74,-10,5,7:12,0,50,6923
24,The Vision,DJ Boris,2019-08-09,125,91,78,-7,11,6:43,0,50,238
25,Double Slap,ROBPM,2019-05-13,130,88,75,-4,11,5:30,3,51,7946
26,Love Distortion - Introversion Remix,Ellen Allien,2019-07-19,133,98,64,-9,13,6:00,0,50,2494
27,Ravaged - Original Mix,UMEK,2019-08-02,128,85,71,-8,7,7:32,0,49,4289
28,Enigma,William Kiss,2019-07-29,127,60,80,-9,7,7:35,0,47,5119
29,Rising Sun,Mario Ochoa,2019-07-26,129,73,64,-8,20,6:57,2,50,624
30,Apache,Dense & Pika,2019-08-09,128,44,88,-10,37,6:10,0,48,2899
31,Pantagruel,Dusty Kid,2019-05-20,130,90,67,-11,24,6:17,6,51,5660
32,Slave to the Rave,Jim Noizer,2019-06-10,126,77,77,-7,11,5:47,0,48,2539
33,Mover,Metodi Hristov,2019-08-02,127,65,80,-10,7,7:34,0,47,8434
34,Recluse,Tiger Stripes,2019-08-12,130,95,75,-6,9,7:00,0,50,3042
35,Wait,Sara Landry,2019-05-17,132,76,74,-9,41,6:56,0,48,3418
36,Arrival,Cosmic Boys,2019-08-02,127,76,83,-7,32,6:20,0,47,6401
37,Contrast,MOTVS,2019-07-01,128,74,72,-9,7,4:08,0,47,8943
38,Machines - Original Mix,Jay Lumen,2019-06-21,132,95,74,-7,24,7:08,0,47,9600
39,Double Trouble,Simina Grigoriu,2019-08-02,130,88,79,-9,19,6:28,0,46,6264
40,Temperature Rising,Mall Grab,2019-07-12,135,96,48,-10,56,4:48,0,50,9676
41,Orust,Florian Kruse,2019-08-16,127,96,78,-10,4,7:11,0,46,7828
42,Dichotomy - Gary Beck Remix,Nihil Young,2019-09-02,130,93,71,-9,11,5:11,0,43,4240
43,PPPO - Function's Sandwell Mix,Miss Kittin,2009-03-13,127,78,66,-11,57,7:44,1,48,7684
44,P#rnceptual - Brothers Black Remix,Oliver Deutschmann,2019-08-23,134,88,79,-8,33,5:33,1,47,1051
45,Alien Body Double - Original Mix,Dave Sinner,2019-05-10,128,92,69,-8,12,7:16,0,49,5299
46,Berlin,I Am Bam,2019-07-05,126,78,63,-9,22,5:41,5,46,7576
47,Synergy - T78 Remix,Filterheadz,2019-04-29,126,90,72,-6,14,5:54,2,47,6576
48,Limea,Kaiserdisco,2019-05-13,130,95,75,-6,9,7:01,0,47,2688
49,Survival,SCB,2019-06-21,130,91,78,-9,6,7:25,0,45,637
50,Comatose,Eats Everything,2019-06-14,131,89,65,-10,7,6:58,1,50,8628
51,Chasing The Light,Marie Davidson,2019-08-08,138,99,73,-11,16,6:07,1,21,997
52,Nimbus,Victor Ruiz,2019-05-13,128,88,73,-7,4,8:40,0,51,7708
53,Hail,Zusan,2019-05-06,126,73,76,-9,35,7:09,0,46,5725
54,Darkest Moments,Ann Clue,2019-05-03,128,46,96,-8,21,7:04,0,48,5056
55,Rosy G,Maharti,2019-07-19,125,83,73,-8,34,7:10,20,46,3932
56,The Return,CJ Bolland,2019-07-19,129,74,65,-8,6,8:04,0,46,1507
57,Witch Trials (Salem's Soul),Emma Jai,2019-04-29,128,93,64,-9,45,6:00,1,48,7024
58,Radau,Julian Wassermann,2019-07-26,127,74,72,-10,9,7:07,0,46,7240
59,Together,A.S.H,2019-06-07,128,79,76,-8,17,7:15,0,48,6915
60,Different Man,Bastian Bux,2019-05-27,130,64,79,-10,9,6:09,0,47,1960
