,artist,track,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Lizzo,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,94,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,173325,4
1,Drake,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,93,0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541,205427,4
2,Shawn Mendes,Señorita,0TK2YIli7K1leLovkQiNik,100,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,190960,4
3,Lil Nas X,Panini,6fTt0CH2t0mdeB2N9XFG5r,93,0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,0.475,153.848,114893,4
4,Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,94,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
5,Lil Tecca,Ransom,6EOKwHETwSkZ9gW2b6ASE0,93,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,131240,4
6,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,96,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
7,Young Thug,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,88,0.855,0.651,0,-8.044,0,0.235,0.063,0.0,0.0772,0.559,111.997,193027,4
8,DaBaby,Suge,2gwkD6igEhQbDQegRCcdoB,88,0.876,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,163320,4
9,YNW Melly,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,88,0.931,0.502,0,-9.311,0,0.353,0.0389,0.0,0.0912,0.712,94.999,176640,4
10,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,94,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
11,Y2K,Lalala,51Fjme0JiitpyXKuyQiCDo,96,0.843,0.391,2,-7.899,1,0.0845,0.181,0.0,0.137,0.496,129.972,160627,4
